54	1	0	
65	99	18	
75	48	7	
5	5	82	
61	54	36	
90	61	76	
31	87	52	
55	44	20	
76	96	92	
6	5	37	
67	99	74	
37	51	77	
41	40	93	
72	25	97	
74	45	58	
21	69	92	
72	98	75	
80	97	32	
77	55	42	
47	74	29	
77	22	36	
95	80	48	
36	53	46	
62	86	71	
35	5	91	
65	63	18	
42	98	32	
16	27	68	
84	12	71	
79	21	92	
29	48	20	
23	66	60	
82	6	47	
34	43	5	
73	5	81	
0	10	75	
72	88	31	
32	80	90	
35	95	44	
43	33	96	
39	27	10	
70	97	36	
58	7	47	
6	93	79	
68	9	28	
90	91	7	
45	27	90	
29	40	2	
2	88	83	
40	22	85	
77	2	82	
3	36	40	
97	29	76	
17	78	68	
89	97	24	
30	73	78	
81	33	4	
44	41	39	
0	48	0	
11	52	44	
89	38	73	
77	0	20	
0	94	3	
10	52	65	
17	29	84	
28	19	32	
53	50	35	
82	5	3	
72	99	93	
18	20	7	
21	43	14	
14	61	78	
7	19	25	
95	88	86	
2	15	2	
56	8	19	
63	39	31	
52	13	67	
90	24	11	
81	29	81	
29	47	74	
88	41	5	
39	64	57	
75	58	52	
7	83	97	
43	15	65	
67	19	49	
31	85	82	
75	15	54	
26	39	98	
80	20	54	
91	76	72	
37	79	53	
75	24	4	
78	69	81	
28	70	25	
35	69	36	
16	55	31	
1	87	97	
63	82	62	
64	32	56	
58	29	55	
54	2	98	
19	84	79	
62	71	78	
13	29	12	
81	46	74	
92	12	81	
25	73	44	
51	47	38	
40	8	81	
87	95	81	
57	69	68	
31	65	59	
80	36	6	
43	64	41	
80	24	86	
36	68	44	
70	11	62	
39	18	6	
62	45	38	
39	27	41	
67	25	10	
42	14	67	
97	85	65	
26	64	9	
91	73	46	
89	49	25	
52	76	18	
98	3	59	
87	69	20	
22	39	52	
1	57	53	
4	16	20	
25	66	7	
11	71	86	
51	96	4	
20	58	97	
53	64	60	
5	8	53	
67	23	54	
58	22	16	
88	23	60	
51	12	83	
27	38	16	
79	27	47	
85	74	53	
88	61	87	
84	81	79	
21	15	41	
1	97	27	
24	4	35	
68	76	44	
75	11	70	
87	23	10	
33	63	99	
96	54	8	
44	41	14	
72	49	50	
85	55	4	
37	44	79	
6	54	70	
33	23	95	
49	27	13	
23	80	97	
55	99	40	
70	13	51	
44	8	71	
59	66	68	
68	37	77	
85	97	70	
12	29	71	
29	85	49	
62	1	68	
13	36	68	
43	23	55	
85	87	42	
38	95	57	
0	67	31	
34	82	81	
39	13	4	
69	26	15	
0	81	92	
13	87	28	
87	27	15	
54	41	24	
77	39	36	
63	30	26	
53	93	90	
40	64	60	
17	27	48	
92	53	7	
69	97	94	
44	50	26	
53	42	98	
1	80	36	
26	51	2	
43	16	36	
